comic,src,title,url
Sinfest,http://www.sinfest.net/btphp/comics/2018-07-08.gif,Political 6,http://www.sinfest.net/view.php?date=2018-07-08
Scandinavia and the World,https://satwcomic.com/art/excuses-excuses.png,Excuses Excuses,https://satwcomic.com/excuses-excuses
