comic,src,title,url
Sinfest,http://www.sinfest.net/btphp/comics/2018-07-22.gif,Political 20,http://www.sinfest.net/view.php?date=2018-07-22
Scandinavia and the World,https://satwcomic.com/art/free-greenland.png,Free Greenland,https://satwcomic.com/free-greenland
