comic,src,title,url
Sinfest,http://www.sinfest.net/btphp/comics/2018-07-23.gif,Political 21,http://www.sinfest.net/view.php?date=2018-07-23
Scandinavia and the World,https://satwcomic.com/art/free-greenland.png,Free Greenland,https://satwcomic.com/free-greenland
