comic,src,title,url
Sinfest,http://www.sinfest.net/btphp/comics/2018-07-13.gif,Political 11,http://www.sinfest.net/view.php?date=2018-07-13
Scandinavia and the World,https://satwcomic.com/art/excuses-excuses.png,Excuses Excuses,https://satwcomic.com/excuses-excuses
