comic,src,title,url
Sinfest,http://www.sinfest.net/btphp/comics/2018-06-23.gif,Repair 21,http://www.sinfest.net/view.php?date=2018-06-24
Scandinavia and the World,https://satwcomic.com/art/traveling-light-the-finnish-way.png,Traveling Light the Finnish way,https://satwcomic.com/traveling-light-the-finnish-way
