comic,src,title,url
Sinfest,http://www.sinfest.net/btphp/comics/2018-07-20.gif,Political 18,http://www.sinfest.net/view.php?date=2018-07-21
Scandinavia and the World,https://satwcomic.com/art/free-greenland.png,Free Greenland,https://satwcomic.com/free-greenland
