comic,src,title,url
Sinfest,http://www.sinfest.net/btphp/comics/2018-07-02.gif,Repair 30,http://www.sinfest.net/view.php?date=2018-07-03
Scandinavia and the World,https://satwcomic.com/art/nice-guys-finish-last.jpg,Nice Guys Finish Last,https://satwcomic.com/nice-guys-finish-last
