amount_paid,case_no,citation,citation_no,citation_status,contract_id,current_penalty,date_issues,date_terminated,final_order_date,proposed_penalty,s_and_s,section_of_act,standard,standard_url,violator
116.00 ,000440809,C,8992368  ,Closed,  ,116.00 ,5/2/2017,5/2/2017,7/23/2017 ,116.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-14107.pdf,Newberg Rock & Dirt
116.00 ,000435717,C,8992214  ,Closed,  ,116.00 ,2/7/2017,2/8/2017,5/21/2017 ,116.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-14107.pdf,Newberg Rock & Dirt
100.00 ,000398910,C,8872462  ,Closed,  ,100.00 ,10/21/2015,10/27/2015,1/13/2016 ,100.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14107.pdf,Newberg Rock & Dirt
100.00 ,000398910,C,8872461  ,Closed,  ,100.00 ,10/21/2015,10/27/2015,1/13/2016 ,100.00,N,104(a),56.12004,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-12004.pdf,Newberg Rock & Dirt
100.00 ,000383840,C,8790965  ,Closed,  ,100.00 ,4/15/2015,4/15/2015,7/17/2015 ,100.00,N,104(a),56.13015,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-13015.pdf,Newberg Rock & Dirt
